Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast,ClearedQuantity,ClearedQuantity24h,Imbalance,Imbalance24h,Imbalance24hSign
384,2,187,44166.2684,11369.1,29572.42804,11393.3,10.7,5.43,293,0.924,420.3884333,497.6937817,5043.338906,-6059.890724,-1
385,2,187,40979.74426,11724.73,31415.92396,7026.52,10.1,4.43,213,0.924,514.4152228,565.823776,6542.635694,-4558.782888,-1
386,2,187,42125.29681,11538.45,44232.12663,6959.45,9.5,4.43,183,0.799,494.013682,606.4226987,2849.844045,-8431.876557,-1
387,2,187,50821.57835,11333.21,52095.81665,7003.6,5.7,4.43,183,0.049,488.1055666,558.4563046,4453.012264,-12093.7076,-1
388,2,187,53731.73706,7053.05,51426.22922,5124.83,8.1,5.43,183,0.924,566.9422943,579.0289467,2435.158543,-5032.633457,-1
389,2,187,59711.89388,7390.52,54472.42227,7289.86,8.6,4.43,173,0.924,667.2061661,554.0264805,1932.413762,1940.178411,1
390,2,187,50087.17517,7266.95,44582.3685,8287.16,9.5,4.43,143,0.924,602.2166655,746.2509164,994.4219292,-8455.120835,-1
391,2,187,64360.14584,12665.0792,54303.26308,21537.79,10.9,5.43,153,0.924,543.8922003,658.4742278,-5219.203712,-30702.96726,-1
392,2,187,66840.37352,12599.26,51705.99985,38458.73,11.9,5.43,133,0.299,967.446062,1192.635902,210.9930479,-30271.3577,-1
393,2,187,58740.50665,13637.34731,48268.17211,30783.49,13.4,6.43,143,0,693.5642872,894.3060402,-8215.353806,-6540.580794,-1
394,2,187,58944.14837,17286.51799,49000.61834,27853.9292,14,7.43,163,0.799,842.7490285,1178.14508,-3309.417994,-13467.09664,-1
395,2,187,56268.19522,12053.0935,47090.43019,16993.43,14.5,7.43,163,0.924,842.6746578,959.6194451,-1924.273497,-23593.11124,-1
396,2,187,56700.63407,9385.572,48036.8494,14662.82,14.3,7.43,173,0.924,640.2854022,1223.333927,-3927.841445,-39532.67368,-1
