t,u,p
361,520.603997230283,31.4817742067102
362,535.400855789565,27.639901317148
363,574.76746970385,27.4300023122726
364,463.413797263089,24.0116512877361
365,641.083158751312,33.6689431706661
366,631.965262141442,27.2358165264501
367,656.39032657335,38.3580318471647
368,674.622449055728,38.3930980017278
369,701.238786813148,38.5563225093071
370,716.385479996872,38.5841495876183
371,628.806270036606,31.2555143619523
372,633.491275313594,30.9073930488174
373,758.893878967784,45.3684289723474
374,680.773506383387,38.632346297613
375,723.566657412076,38.4923771269652
376,702.577268157284,38.2278103495237
377,578.583048415311,30.8247777004152
378,703.151515167299,38.442761340813
379,787.928795657652,45.852936207697
380,689.668065464003,38.2970202654146
381,693.408491729428,38.1721384488723
382,627.752605636363,27.0932951901374
383,528.912065051663,31.1214267606292
384,511.339743945503,23.9150144507323
