Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast, ClearedQuantity, ClearedQuantity24h,Imbalance,Imbalance24h
384,2,187,44166.26840062304,11369.099999999999,29572.42804374819,11393.300000000003,10.7,5.43,293.0,0.924,420.3884332676324,497.6937816604286,5043.338905510169,-6059.890723771292
385,2,187,40979.74425616306,11724.730000000003,31415.92395570099,7026.52,10.1,4.43,213.0,0.924,514.4152228323862,565.8237760414556,6542.635693594239,-4558.782888176025
386,2,187,42125.296814441914,11538.450000000004,44232.12662593475,6959.450000000001,9.5,4.43,183.0,0.799,494.0136819839489,606.4226986893079,2849.8440449874033,-8431.87655708602
387,2,187,50821.57835156718,11333.210000000006,52095.816654143026,7003.600000000001,5.7,4.43,183.0,0.049,488.1055665611922,558.4563046177956,4453.012263557161,-12093.707601248621
388,2,187,53731.73706375986,7053.049999999999,51426.22922157891,5124.83,8.1,5.43,183.0,0.924,566.942294260972,579.0289467091685,2435.1585426101374,-5032.633456971882
389,2,187,59711.89387946878,7390.520000000004,54472.42227492976,7289.860000000001,8.6,4.43,173.0,0.924,667.2061661092196,554.0264805491834,1932.4137620678957,1940.178410934146
390,2,187,50087.175165226814,7266.950000000001,44582.36850282976,8287.16,9.5,4.43,143.0,0.924,602.2166655362511,746.2509163512211,994.4219291857398,-8455.12083479631
391,2,187,64360.145842255515,12665.079200000002,54303.26308222272,21537.79,10.9,5.43,153.0,0.924,543.8922003039711,658.4742277501225,-5219.203711590513,-30702.967258155753
392,2,187,66840.37352499586,12599.259999999998,51705.99985369104,38458.729999999996,11.9,5.43,133.0,0.299,967.4460620484087,1192.6359023355888,210.99304793771853,-30271.357704159265
393,2,187,58740.50665014115,13637.34731111111,48268.17210698001,30783.49,13.4,6.43,143.0,0.0,693.5642872116226,894.3060402129645,-8215.353805532519,-6540.580794406436
394,2,187,58944.14837461065,17286.51799444342,49000.618336950625,27853.929200000002,14.0,7.43,163.0,0.799,842.7490285154892,1178.1450797420557,-3309.417994443424,-13467.09664381345
395,2,187,56268.19522056058,12053.093497387355,47090.43018728922,16993.43,14.5,7.43,163.0,0.924,842.6746577753976,959.6194451149156,-1924.2734973873557,-23593.11123577665
396,2,187,56700.63407388395,9385.572,48036.84939676157,14662.82,14.3,7.43,173.0,0.924,640.2854021504189,1223.3339273443223,-3927.8414448568938,-39532.67368022614
397,2,187,58963.56254783283,14473.294488314448,44528.58699579549,25132.22,13.9,8.43,173.0,0.924,849.8892366928549,859.5034889026052,-6976.322189451899,-13647.507688389516
398,2,187,65876.50793838088,14920.699235877455,46795.473404595905,37311.64,13.7,7.43,173.0,0.924,711.8261505445674,940.775159095724,-18225.733028922423,-23369.65228968506
399,2,187,68596.13675873456,6910.398717725973,50822.920125741475,31556.539999999997,13.4,6.43,173.0,0.924,648.5039059340497,963.9714501390343,-19302.35555585499,-29785.24439715818
400,2,187,58944.75361748406,7457.0461973945685,46254.99850166515,24750.550000000003,13.0,6.43,163.0,0.924,651.5910993711651,877.3192455266883,-6593.550963268672,-15485.645198771497
