Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast,ClearedQuantity,ClearedQuantity24h,Bids,Asks,Imbalance,Imbalance1h,Imbalance24h,Imbalance1hSign,Imbalance24hSign
384,2,187,43979.60563243114,11682.400000000001,29979.497333755604,11475.340000000002,10.7,5.43,293.0,0.924,568.5738900684685,526.3113071991651,5864.9728167701,-18121.377762034972,6797.573964196647,5842.763693579331,-3706.93992565637,1,-1
385,2,187,41041.20485616304,11807.890000000003,30726.21483641569,7076.15,10.1,4.43,213.0,0.924,408.06078411120643,602.0130901236279,6417.818641761491,-18148.492509688385,5842.763693579331,1257.94376590279,-4897.154755839358,1,-1
386,2,187,41776.15741444193,11569.199999999999,44103.477559273575,6956.73,9.5,4.43,183.0,0.799,394.2534887522487,616.7514778751014,19323.071813709852,-17956.886998074162,1257.94376590279,4091.0579862578816,-15160.079325653722,1,-1
387,2,187,50134.47050847773,11592.02,53118.668886301755,6953.58,5.7,4.43,183.0,0.049,571.061726417217,589.3034493146762,5149.376216234395,-17746.08497459488,4091.0579862578816,1008.1291142143091,-12249.461779534548,1,-1
388,2,187,52754.566702728145,7009.329999999998,55614.97630370324,5108.389999999999,8.1,5.43,183.0,0.924,656.8073533540327,538.7201710238539,4265.545425875791,-17800.600619355406,1008.1291142143091,-70.14698173907527,-8491.982786394117,-1,-1
389,2,187,58694.04459197337,7232.782964425814,55452.71859963297,7033.990000000002,8.6,4.43,173.0,0.924,621.3042640321814,623.4481040017286,4771.900990800166,-17771.421009741356,-70.14698173907527,-324.5299048718022,2255.6789969440506,-1,1
390,2,187,49442.39605364112,7211.533522503882,44314.55304012159,9860.359999999999,9.5,4.43,143.0,0.924,638.7642976089493,589.2411138618255,8428.420919719272,-17791.846597781987,-324.5299048718022,-6746.5531690290045,-8003.801085707466,-1,-1
391,2,187,64911.6643034696,12688.090468916977,53111.80002949915,21573.99,10.9,5.43,153.0,0.924,642.5746248445273,911.9097881517464,4383.348942657865,-17821.336253409216,-6746.5531690290045,-711.8124309375457,-23796.083557161888,-1,-1
392,2,187,67133.92961684152,13096.436617935782,54887.091754678004,40984.71,11.9,5.43,133.0,0.299,690.620774511432,744.4639119149051,49549.199005546376,-17669.360561510322,-711.8124309375457,-10548.833655400453,-21910.0306833281,-1,-1
393,2,187,61038.72753547239,20252.19985263484,51559.313873089566,35870.74,13.4,6.43,143.0,0.0,824.8218595885348,922.2066078936756,5492.088030287877,-17565.743266506433,-10548.833655400453,-3782.7145374658444,-8045.394747518814,-1,-1
394,2,187,59362.47844974851,14827.44857611228,49519.09120025893,30396.71,14.0,7.43,163.0,0.799,611.559507573662,843.4455437980668,27363.1740361084,-17591.395097813736,-3782.7145374658444,-1444.4547844650742,-18380.906214861614,-1,-1
395,2,187,55785.061518909395,11083.410170725367,47747.2091404696,21727.210000000003,14.5,7.43,163.0,0.924,656.6635254397797,908.1059765162678,4109.724903290502,-17490.83847735121,-1444.4547844650742,-2932.793417912585,-30664.565056344276,-1,-1
396,2,187,55819.58789128622,10384.426428386994,47573.451275633946,15317.25,14.3,7.43,173.0,0.924,667.8495500807817,1107.5035533032758,14464.869881080462,-17527.765439323764,-2932.793417912585,-5649.063336737653,-43808.42613507389,-1,-1
397,2,187,58048.19210512202,10471.559218570519,46146.41719889306,27141.07,13.9,8.43,173.0,0.924,697.9220507822151,857.8613581121031,6837.163062553932,-17396.290132481954,-5649.063336737653,-15830.501835602323,-19837.361853713028,-1,-1
398,2,187,62851.82720006865,7134.934588258876,48900.01817299475,27792.729999999996,13.7,7.43,173.0,0.924,688.793529749408,900.3753425176579,4939.526110779596,-17343.10372740537,-15830.501835602323,-16689.56023781197,-33347.78102494273,-1,-1
399,2,187,64747.35306299707,7147.724994758106,50589.89652041086,26018.190000000002,13.4,6.43,173.0,0.924,654.1110458428416,867.3441823547331,9660.511727942743,-17239.598841869607,-16689.56023781197,-5091.346242611625,-32130.625246958636,-1,-1
400,2,187,56872.42710121604,7689.87310940655,45325.31423563037,21726.95,13.0,6.43,163.0,0.924,655.3146201696688,848.034078916676,3636.3402854399255,-17232.770817027467,-5091.346242611625,4473.64043983248,-18596.207470628095,1,-1
401,2,187,65070.523355934056,4005.335083733323,55913.72414935887,12717.940000000004,12.7,5.43,153.0,0.924,777.9460327181824,941.544917769152,5839.656302526879,-17133.689977838512,4473.64043983248,1993.0363430086509,471.1699689661697,1,1
402,2,187,62782.349442850136,3686.4699999999993,57386.04446136032,11416.340000000002,12.3,4.43,133.0,0.924,685.2178214192006,921.3623698576548,3861.7690914781892,-17235.50278397653,1993.0363430086509,-992.9647764640613,-4059.767251954596,-1,-1
403,2,187,54452.71094777194,4764.639569431166,55025.63932958152,11221.970000000001,10.7,6.43,133.0,0.174,634.8089681799056,906.6172203061456,3678.2054201197675,-17271.046238218005,-992.9647764640613,-4912.497388428077,5709.441371112742,-1,1
404,2,187,52432.34963277909,11912.907388428108,53251.78238355549,11526.470000000001,11.0,6.43,133.0,0.674,968.8336159501351,929.0176034969102,2860.9285931219206,-17322.649437990338,-4912.497388428077,-3936.66521751674,3403.0242218459753,-1,1
405,2,187,50004.80950080746,5172.214875806442,49225.64098909851,11275.79,11.6,6.43,133.0,0.924,620.3084397081814,1030.52758907595,4054.597640006802,-17580.680137861746,-3936.66521751674,-6865.387097613566,2637.600235082755,-1,1
406,2,187,44053.79383931927,58.79456273298372,43285.31334255023,11507.43,11.2,6.43,153.0,0.799,651.4794665837823,862.0459752320186,10862.397321961982,-17589.0742359441,-6865.387097613566,-4991.4553095390365,823.9408495570897,-1,1
407,2,187,38650.549354314084,68.96286683282409,36382.58451927991,11576.630000000001,11.3,7.43,143.0,0.924,527.8453578659974,908.3211856554532,4834.417573196985,-17605.121585918747,-4991.4553095390365,-3706.93992565637,-565.7306195950769,-1,-1
408,2,187,36888.92224398874,70.61486198388312,43979.60563243114,11682.400000000001,14.3,4.13,157.0,0.911,526.3113071991651,849.1389073897546,7114.183788432741,-17567.30287531017,-3706.93992565637,-4897.154755839358,480.05083906530854,-1,1
409,2,187,35600.091294703,327.0531823797534,41041.20485616304,11807.890000000003,13.9,3.13,157.0,0.911,602.0130901236279,887.9037292999384,5390.825597129542,-17515.243964354322,-4897.154755839358,-15160.079325653722,-2350.0614447748594,-1,-1
410,2,187,43834.653552548334,61.877847770193895,41776.15741444193,11569.199999999999,13.4,4.13,147.0,0.911,616.7514778751014,699.9788110890486,4592.058865694714,-17564.748681987538,-15160.079325653722,-12249.461779534548,-2394.324838321554,-1,-1
411,2,187,47914.52060926625,66.94063252722981,50134.47050847773,11592.02,13.6,4.13,157.0,0.911,589.3034493146762,894.7368248650611,5401.783663191274,-17773.667462367608,-12249.461779534548,-8491.982786394117,949.8598378681854,-1,1
412,2,187,54364.758556533474,68.08097944448025,52754.566702728145,7009.329999999998,12.7,4.13,167.0,0.411,538.7201710238539,780.8839645205795,6750.468817019351,-17803.312844639117,-8491.982786394117,2255.6789969440506,4548.137275341593,1,1
413,2,187,56680.36295371345,295.88000000000216,58694.04459197337,7232.782964425814,12.6,5.13,157.0,0.911,623.4481040017286,778.8588886418614,4261.901180343804,-17813.21384015749,2255.6789969440506,-8003.801085707466,12568.406589274513,-1,1
414,2,187,47073.047875188,240.13055390138513,49442.39605364112,7211.533522503882,12.4,5.13,167.0,0.036,589.2411138618255,941.4292004205681,5987.856123424316,-17866.428643469146,-8003.801085707466,-23796.083557161888,826.643080739424,-1,1
415,2,187,67783.18369486376,6473.151327936766,64911.6643034696,12688.090468916977,13.2,5.13,167.0,0.536,911.9097881517464,1107.288711631626,5913.158362538681,-17936.25937197415,-23796.083557161888,-21910.0306833281,-1453.8187574716117,-1,-1
416,2,187,71014.45372563339,18582.355530695684,67133.92961684152,13096.436617935782,14.0,4.13,177.0,0.786,744.4639119149051,1211.6278320499566,5672.813179104568,-17948.75526710653,-21910.0306833281,-8045.394747518814,-11345.14882473542,-1,-1
417,2,187,68194.58001428512,31955.059232387135,61038.72753547239,20252.19985263484,15.4,4.13,187.0,0.0,922.2066078936756,1489.994207502217,42046.4741578882,-17866.192640773577,-8045.394747518814,-18380.906214861614,17136.093395391494,-1,1
418,2,187,61570.82798954246,12992.354707288632,59362.47844974851,14827.44857611228,16.1,4.13,187.0,0.661,843.4455437980668,1021.2290223422551,3271.412547498714,-17853.356065752858,-18380.906214861614,-30664.565056344276,-29339.629778566126,-1,-1
419,2,187,63428.302567932995,13175.43033500916,55785.061518909395,11083.410170725367,17.7,3.13,187.0,0.661,908.1059765162678,1106.3333927675897,5002.247957019244,-17932.301923176394,-30664.565056344276,-43808.42613507389,-12409.32788244888,-1,-1
420,2,187,62229.413988692395,13962.967005707796,55819.58789128622,10384.426428386994,18.3,4.13,247.0,0.036,1107.5035533032758,1156.9077466043998,5305.4175186574075,-17910.977974438923,-43808.42613507389,-19837.361853713028,-15013.849673861347,-1,-1
421,2,187,65534.27245522877,16416.204768361582,58048.19210512202,10471.559218570519,18.2,4.13,267.0,0.286,857.8613581121031,2013.6964820827063,8502.008108462122,-17928.9830982004,-19837.361853713028,-33347.78102494273,5347.949057901226,-1,1
422,2,187,71848.5795738775,14814.127254151354,62851.82720006865,7134.934588258876,17.9,3.13,247.0,0.286,900.3753425176579,1163.1579173393227,3948.4532852858365,-17785.85746307671,-33347.78102494273,-32130.625246958636,-19431.86345962093,-1,-1
423,2,187,69532.56513685879,16027.483112687654,64747.35306299707,7147.724994758106,16.4,3.13,247.0,0.536,867.3441823547331,1430.4640537709874,3219.639228327002,-17830.702884147344,-32130.625246958636,-18596.207470628095,-15415.807815962473,-1,-1
424,2,187,65262.98881120915,6643.70637233219,56872.42710121604,7689.87310940655,14.7,3.13,217.0,0.161,848.034078916676,1045.45716629239,42875.78650627657,-17735.691868913455,-18596.207470628095,471.1699689661697,-7650.564836795904,1,-1
425,2,187,61291.11170465364,266.11940000000004,65070.523355934056,4005.335083733323,15.3,3.13,247.0,0.911,941.544917769152,1090.4714257264648,8814.95047810496,-17679.60354297519,471.1699689661697,-4059.767251954596,5450.695465560559,-1,1
426,2,187,57830.36171952666,239.20158803873767,62782.349442850136,3686.4699999999993,14.8,3.13,237.0,0.411,921.3623698576548,980.5272024658648,5337.593113415981,-17687.766783871422,-4059.767251954596,5709.441371112742,-6861.099467183507,1,-1
427,2,187,59690.8290610205,5354.618199999998,54452.71094777194,4764.639569431166,14.9,2.13,227.0,0.911,906.6172203061456,1093.96966253696,4169.87162480468,-17699.062570756258,5709.441371112742,3403.0242218459753,-900.1516816150543,1,-1
428,2,187,53563.91885238441,5105.62,52432.34963277909,11912.907388428108,13.9,2.13,207.0,0.411,929.0176034969102,1113.5635135796504,12085.862445375242,-17678.209927537235,3403.0242218459753,2637.600235082755,-10482.162153930669,1,-1
